CO_CEP,Latitude,Longitude
31110590,-19.9227318,-43.9450948
17500100,-22.2172002,-49.9500061
35179000,-19.444076,-42.5229425
4966150,-23.5383214,-46.6391624
2871050,-23.463785,-46.6788835
13477360,-22.733597,-47.2970714
91230080,-30.0324999,-51.2303767
6023180,-23.5454903,-46.7716009
54460110,-8.1165339,-35.0199865
13480134,-22.5491704,-47.4114475
68557530,-7.1053363,-49.9399542
35162339,-19.4723988,-42.556232
5571140,-23.5383214,-46.6391624
11075420,-23.9335988,-46.3286399
24240030,-22.8966666,-43.1068321
5208060,-23.5383214,-46.6391624
16200065,-21.2776418,-50.3456693
26291221,-22.7322773,-43.5000645
73310300,-15.7508868,-47.9250462
28988800,-22.8416934,-42.3112286
37280000,-20.7702144,-45.274803
47100000,-11.0889855,-43.1433778
79935000,-23.9794685,-55.0410077
54420000,-8.1165339,-35.0199865
64079010,-5.0902277,-42.8129529
78330000,-9.9040452,-58.5665947
85010030,-25.5659527,-51.4747222
91330570,-30.0352969,-51.1574394
29168380,-20.1252961,-40.3064477
6754110,-23.6081102,-46.7722123
3655010,-23.5383214,-46.6391624
85506390,-26.2088182,-52.674609
15086426,-20.8125851,-49.3804212
61760430,-3.8648504,-38.4617536
88317600,-26.9267078,-48.696164
97573570,-30.8899922,-55.536263
3436000,-23.5584021,-46.5305845
65085242,-2.5295265,-44.2963942
59108210,-5.8193078,-35.2126281
8452070,-23.5383214,-46.6391624
12227570,-23.1867782,-45.8854538
13308220,-23.2637798,-47.2998462
12080000,-23.0136506,-45.550127
20780230,-22.9080777,-43.1790268
89801040,-27.1056204,-53.399227
64500000,-7.0148351,-42.1256959
24750460,-22.8651033,-43.0667223
69025000,1.9635842,-67.7824958
66033728,-1.4655527,-48.4840643
3908070,-23.5807376,-46.5057296
90040191,-30.0402362,-51.2145471
35020500,-18.8601623,-41.9385921
44860111,-11.3093677,-41.8596897
31275010,-19.9227318,-43.9450948
61932380,-3.8617253,-38.6543596
35430214,-20.4164353,-42.90878
99700236,-27.6303525,-52.2749774
86060000,-23.3131459,-51.1777199
54330385,-8.1670801,-34.9238889
93037005,-29.761971,-51.1476325
31110730,-19.9227318,-43.9450948
36572176,-20.7501211,-42.8787801
4438000,-23.5383214,-46.6391624
20940060,-22.9080777,-43.1790268
58300170,-7.1458168,-34.9647416
3325120,-23.5544945,-46.5557413
66080195,-1.45056,-48.4682453
12020310,-23.0494273,-45.5667506
25570391,-22.7839756,-43.3457664
15600034,-20.2759575,-50.262063
86060310,-23.3112878,-51.1595023
8676110,-23.6630981,-46.307061
49140112,-10.9067739,-37.0244513
6843150,-23.6810812,-46.8553234
72315215,-15.7508868,-47.9250462
23026280,-22.9080777,-43.1790268
54410310,-8.1799067,-34.9217478
23015070,-22.9080777,-43.1790268
1224020,-23.5383214,-46.6391624
40391180,-12.9822499,-38.4812772
74923630,-16.8020159,-49.3537439
12233690,-23.1867782,-45.8854538
61656525,-3.7505052,-38.6072837
35171017,-19.489011,-42.6234781
67010000,-1.393884,-48.4149824
76270000,-15.8669647,-50.8688151
8235380,-23.5383214,-46.6391624
78740018,-16.4310353,-54.6187071
28026290,-21.7858808,-41.33795
91712270,-30.0324999,-51.2303767
53030240,-8.0102001,-34.8777267
24315375,-22.9023887,-43.0636066
1229010,-23.5383214,-46.6391624
6708220,-23.6124139,-46.9248924
38414539,-18.8941408,-48.2622678
9351525,-23.6818722,-46.4655555
85812020,-24.9462339,-53.4447656
49085000,-10.9051072,-37.0787967
89107970,-26.7944702,-49.1640788
3265040,-23.5383214,-46.6391624
2996010,-23.5383214,-46.6391624
13179023,-22.85657,-47.16179
79814150,-22.2285104,-54.7686069
18095420,-23.4887275,-47.4425412
88034600,-27.5944456,-48.4914894
13611400,-22.2107155,-47.4033707
37415600,-21.7039347,-45.2412812
11672040,-23.6656901,-45.4440603
9400160,-23.6974472,-46.3970406
4428010,-23.6793217,-46.655663
4223000,-23.5966838,-46.5925106
28020250,-21.7858808,-41.33795
55006341,-8.2695417,-36.0165485
37900024,-20.7158567,-46.6169251
24800380,-22.7805,-42.9306
2982160,-23.5383214,-46.6391624
41253281,-12.9822499,-38.4812772
29680000,-19.7405615,-40.3937514
54330540,-8.1734207,-34.93458
86020260,-23.3112878,-51.1595023
61943290,-3.8918118,-38.6835399
41370070,-12.9822499,-38.4812772
13142208,-22.7877082,-47.1836208
66650290,-1.45056,-48.4682453
96508750,-30.0024783,-52.916859
54325041,-8.1165339,-35.0199865
60526760,-3.7511671,-38.5974631
5411002,-23.5528584,-46.6816225
41210300,-12.9822499,-38.4812772
30421060,-19.9227318,-43.9450948
57040080,-9.6523206,-35.7228817
41338680,-12.9822499,-38.4812772
21755090,-22.9080777,-43.1790268
57313170,-9.7437488,-36.6904997
14882040,-21.2639671,-48.3533772
77064560,-10.1837852,-48.3336423
36015510,-21.7594682,-43.3505214
62103000,-3.6815246,-40.3564673
3821060,-23.5383214,-46.6391624
3658000,-23.5255365,-46.5077372
62480000,-3.4669121,-40.6779697
54450151,-8.1165339,-35.0199865
18031005,-23.5147155,-47.459841
25086011,-22.7814972,-43.288406
22775058,-22.9080777,-43.1790268
85060430,-25.5659527,-51.4747222
8562400,-23.5328986,-46.3420312
63130025,-7.2276282,-39.3779228
65054770,-2.5295265,-44.2963942
48130000,-12.0907897,-38.4985065
9015600,-23.7672489,-46.3727555
65086300,-2.5295265,-44.2963942
61930055,-3.8617253,-38.6543596
