iter	Passed	Remaining
0	71	285606
1	83	166142
2	95	126826
3	106	106606
4	118	94527
5	129	86165
6	141	80794
7	152	76254
8	164	73114
9	176	70293
10	187	67999
11	199	66154
12	210	64553
13	221	63177
14	233	62058
15	245	61031
16	256	60028
17	268	59420
18	280	58751
19	298	59336
20	309	58692
21	323	58488
22	337	58298
23	349	57906
24	363	57865
25	375	57400
26	389	57353
27	401	56976
28	413	56587
29	426	56451
30	438	56085
31	449	55693
32	461	55464
33	472	55101
34	484	54918
35	496	54717
36	508	54420
37	520	54264
38	532	54058
39	546	54094
40	560	54096
41	574	54104
42	587	54045
43	600	53992
44	612	53837
45	626	53884
46	639	53794
47	653	53829
48	669	53953
49	682	53928
50	694	53745
51	705	53554
52	717	53469
53	733	53597
54	745	53458
55	757	53321
56	769	53205
57	780	53072
58	793	53002
59	804	52860
60	814	52601
61	825	52464
62	839	52452
63	851	52358
64	862	52213
65	874	52107
66	886	52034
67	892	51587
68	904	51510
69	916	51450
70	927	51322
71	938	51219
72	949	51092
73	960	50971
74	971	50855
75	982	50739
76	993	50624
77	1004	50530
78	1016	50471
79	1027	50368
80	1040	50357
81	1053	50316
82	1067	50358
83	1080	50368
84	1094	50399
85	1154	52550
86	1169	52599
87	1183	52591
88	1194	52481
89	1204	52332
90	1218	52360
91	1230	52272
92	1241	52173
93	1254	52108
94	1267	52119
95	1280	52083
96	1293	52034
97	1304	51934
98	1316	51873
99	1327	51754
100	1338	51684
101	1350	51598
102	1361	51528
103	1375	51542
104	1389	51561
105	1402	51510
106	1416	51532
107	1429	51497
108	1441	51448
109	1453	51388
110	1465	51332
111	1477	51299
112	1490	51255
113	1501	51189
114	1513	51143
115	1524	51060
116	1537	51012
117	1549	50964
118	1560	50876
119	1571	50825
120	1583	50753
121	1593	50662
122	1604	50586
123	1615	50507
124	1629	50500
125	1641	50463
126	1652	50405
127	1664	50350
128	1676	50295
129	1688	50256
130	1699	50197
131	1711	50156
132	1722	50079
133	1734	50041
134	1747	50019
135	1757	49939
136	1769	49898
137	1780	49838
138	1792	49792
139	1804	49746
140	1816	49718
141	1828	49682
142	1840	49629
143	1851	49584
144	1863	49544
145	1874	49486
146	1886	49445
147	1897	49395
148	1909	49361
149	1921	49315
150	1931	49244
151	1942	49188
152	1954	49150
153	1966	49108
154	1977	49061
155	1988	49008
156	2000	48968
157	2012	48929
158	2024	48906
159	2036	48865
160	2047	48810
161	2059	48791
162	2071	48755
163	2082	48705
164	2093	48663
165	2106	48644
166	2117	48601
167	2129	48564
168	2141	48550
169	2152	48501
170	2165	48480
171	2176	48436
172	2189	48423
173	2199	48366
174	2211	48333
175	2222	48279
176	2234	48256
177	2244	48196
178	2256	48168
179	2267	48117
180	2279	48089
181	2291	48071
182	2302	48033
183	2314	47997
184	2326	47967
185	2338	47949
186	2350	47930
187	2363	47915
188	2374	47889
189	2386	47855
190	2398	47821
191	2409	47792
192	2421	47755
193	2432	47722
194	2443	47680
195	2454	47643
196	2466	47622
197	2478	47597
198	2490	47568
199	2501	47525
200	2512	47479
201	2523	47437
202	2535	47418
203	2546	47381
204	2558	47360
205	2569	47322
206	2580	47283
207	2591	47251
208	2603	47223
209	2614	47187
210	2625	47147
211	2637	47123
212	2649	47100
213	2661	47086
214	2674	47083
215	2686	47065
216	2698	47040
217	2709	46998
218	2721	46979
219	2737	47040
220	2750	47027
221	2763	47022
222	2776	47025
223	2787	46997
224	2799	46975
225	2811	46953
226	2823	46927
227	2835	46902
228	2846	46880
229	2858	46859
230	2870	46835
231	2881	46799
232	2894	46802
233	2906	46772
234	2917	46738
235	2928	46713
236	2940	46684
237	2951	46658
238	2963	46642
239	2975	46615
240	2987	46601
241	2998	46558
242	3009	46536
243	3021	46505
244	3033	46497
245	3045	46472
246	3056	46445
247	3068	46419
248	3079	46388
249	3090	46357
250	3103	46360
251	3116	46355
252	3128	46336
253	3141	46326
254	3152	46305
255	3164	46284
256	3176	46256
257	3188	46239
258	3199	46216
259	3210	46177
260	3222	46158
261	3233	46139
262	3245	46113
263	3256	46079
264	3268	46060
265	3278	46017
266	3289	45990
267	3300	45956
268	3311	45934
269	3322	45903
270	3334	45879
271	3344	45838
272	3355	45810
273	3368	45804
274	3381	45797
275	3392	45769
276	3403	45744
277	3415	45727
278	3425	45692
279	3437	45664
280	3448	45640
281	3459	45615
282	3470	45587
283	3482	45564
284	3493	45534
285	3504	45505
286	3515	45483
287	3527	45463
288	3538	45439
289	3549	45410
290	3560	45382
291	3571	45350
292	3582	45324
293	3594	45306
294	3605	45280
295	3616	45255
296	3628	45242
297	3639	45212
298	3651	45193
299	3662	45165
300	3675	45166
301	3688	45163
302	3700	45148
303	3711	45127
304	3725	45137
305	3736	45112
306	3748	45086
307	3759	45067
308	3770	45043
309	3782	45021
310	3793	45002
311	3805	44981
312	3817	44966
313	3828	44947
314	3839	44919
315	3851	44899
316	3862	44880
317	3873	44850
318	3885	44836
319	3897	44816
320	3909	44807
321	3921	44793
322	3933	44782
323	3945	44760
324	3956	44742
325	3968	44729
326	3980	44710
327	3992	44696
328	4003	44668
329	4014	44645
330	4025	44625
331	4036	44600
332	4047	44576
333	4059	44553
334	4070	44530
335	4081	44510
336	4093	44493
337	4105	44475
338	4115	44440
339	4126	44420
340	4138	44405
341	4149	44384
342	4160	44362
343	4171	44334
344	4183	44317
345	4193	44288
346	4205	44267
347	4216	44253
348	4227	44230
349	4239	44207
350	4251	44196
351	4261	44166
352	4272	44143
353	4283	44116
354	4294	44093
355	4305	44068
356	4317	44056
357	4329	44042
358	4339	44016
359	4350	43991
360	4361	43965
361	4372	43937
362	4383	43920
363	4394	43899
364	4405	43877
365	4416	43854
366	4426	43819
367	4437	43800
368	4450	43791
369	4460	43758
370	4471	43743
371	4483	43728
372	4494	43706
373	4505	43684
374	4516	43662
375	4528	43645
376	4540	43630
377	4551	43617
378	4562	43593
379	4574	43575
380	4586	43562
381	4597	43539
382	4608	43522
383	4619	43500
384	4629	43469
385	4640	43448
386	4651	43426
387	4660	43390
388	4672	43371
389	4683	43355
390	4695	43343
391	4707	43331
392	4719	43320
393	4730	43297
394	4742	43279
395	4755	43277
396	4766	43254
397	4777	43235
398	4787	43211
399	4798	43184
400	4810	43176
401	4821	43150
402	4831	43123
403	4841	43096
404	4853	43086
405	4864	43065
406	4875	43043
407	4886	43020
408	4897	43003
409	4908	42983
410	4918	42954
411	4930	42942
412	4942	42923
413	4954	42912
414	4965	42898
415	4977	42883
416	4988	42861
417	4999	42843
418	5011	42829
419	5023	42818
420	5035	42808
421	5048	42801
422	5060	42793
423	5071	42776
424	5084	42771
425	5095	42748
426	5106	42731
427	5118	42717
428	5129	42701
429	5142	42690
430	5153	42675
431	5165	42660
432	5176	42643
433	5189	42640
434	5200	42619
435	5211	42599
436	5223	42584
437	5233	42564
438	5246	42560
439	5258	42545
440	5269	42528
441	5281	42516
442	5293	42503
443	5305	42493
444	5318	42485
445	5329	42467
446	5340	42449
447	5351	42427
448	5363	42415
449	5372	42386
450	5384	42370
451	5395	42352
452	5407	42337
453	5418	42318
454	5429	42301
455	5441	42287
456	5452	42269
457	5463	42256
458	5476	42252
459	5487	42228
460	5498	42207
461	5509	42191
462	5520	42173
463	5532	42160
464	5543	42143
465	5552	42108
466	5565	42102
467	5577	42093
468	5588	42077
469	5599	42059
470	5611	42041
471	5621	42021
472	5633	42010
473	5644	41989
474	5655	41972
475	5666	41954
476	5678	41939
477	5689	41920
478	5700	41905
479	5711	41887
480	5723	41870
481	5734	41851
482	5745	41836
483	5757	41821
484	5767	41800
485	5778	41784
486	5790	41770
487	5799	41739
488	5810	41719
489	5821	41702
490	5833	41687
491	5844	41672
492	5855	41652
493	5866	41634
494	5877	41617
495	5889	41608
496	5901	41595
497	5912	41577
498	5924	41566
499	5935	41550
500	5947	41536
501	5957	41513
502	5968	41497
503	5979	41478
504	5990	41455
505	6001	41443
506	6012	41422
507	6024	41412
508	6037	41410
509	6049	41394
510	6060	41382
511	6072	41365
512	6083	41348
513	6093	41325
514	6105	41316
515	6115	41293
516	6128	41285
517	6139	41271
518	6154	41278
519	6168	41281
520	6183	41290
521	6196	41288
522	6209	41280
523	6221	41268
524	6231	41247
525	6243	41236
526	6255	41222
527	6266	41206
528	6278	41194
529	6290	41184
530	6302	41172
531	6314	41163
532	6326	41152
533	6337	41134
534	6349	41121
535	6359	41101
536	6372	41094
537	6384	41081
538	6396	41074
539	6408	41060
540	6420	41051
541	6432	41039
542	6444	41026
543	6456	41014
544	6468	41006
545	6479	40991
546	6491	40979
547	6503	40967
548	6515	40959
549	6527	40945
550	6539	40932
551	6550	40918
552	6562	40905
553	6572	40882
554	6583	40867
555	6595	40852
556	6605	40827
557	6616	40811
558	6627	40799
559	6639	40787
560	6651	40777
561	6663	40763
562	6675	40754
563	6687	40744
564	6700	40734
565	6710	40715
566	6722	40703
567	6734	40690
568	6747	40686
569	6758	40672
570	6770	40660
571	6782	40645
572	6794	40635
573	6805	40622
574	6818	40615
575	6830	40605
576	6842	40593
577	6853	40578
578	6865	40564
579	6877	40555
580	6889	40543
581	6901	40531
582	6912	40515
583	6924	40501
584	6936	40492
585	6947	40478
586	6959	40462
587	6970	40449
588	6982	40437
589	6993	40417
590	7003	40397
591	7014	40383
592	7025	40364
593	7037	40352
594	7048	40333
595	7058	40311
596	7069	40299
597	7081	40288
598	7093	40277
599	7104	40257
600	7115	40243
601	7127	40229
602	7138	40216
603	7151	40207
604	7163	40196
605	7174	40180
606	7185	40166
607	7200	40168
608	7211	40154
609	7222	40137
610	7234	40126
611	7245	40111
612	7257	40101
613	7268	40085
614	7280	40071
615	7292	40059
616	7304	40047
617	7315	40031
618	7327	40022
619	7339	40012
620	7350	39994
621	7363	39988
622	7373	39970
623	7385	39958
624	7398	39949
625	7409	39936
626	7421	39923
627	7432	39910
628	7444	39898
629	7456	39883
630	7467	39868
631	7479	39859
632	7491	39849
633	7502	39832
634	7513	39815
635	7524	39799
636	7536	39786
637	7548	39776
638	7560	39769
639	7574	39763
640	7586	39757
641	7597	39739
642	7609	39727
643	7621	39715
644	7633	39707
645	7644	39688
646	7655	39675
647	7666	39659
648	7677	39643
649	7690	39634
650	7703	39627
651	7716	39623
652	7729	39615
653	7740	39603
654	7752	39590
655	7764	39577
656	7775	39566
657	7786	39549
658	7797	39532
659	7807	39512
660	7819	39498
661	7830	39484
662	7842	39472
663	7855	39464
664	7866	39448
665	7876	39431
666	7890	39428
667	7902	39416
668	7914	39404
669	7926	39396
670	7938	39385
671	7950	39373
672	7962	39361
673	7973	39349
674	7986	39339
675	7997	39327
676	8009	39315
677	8021	39303
678	8034	39294
679	8044	39278
680	8057	39268
681	8068	39253
682	8079	39239
683	8091	39226
684	8102	39211
685	8113	39193
686	8124	39181
687	8135	39165
688	8147	39150
689	8158	39138
690	8169	39122
691	8181	39109
692	8192	39096
693	8204	39085
694	8216	39070
695	8227	39055
696	8237	39038
697	8249	39025
698	8260	39011
699	8270	38989
700	8282	38977
701	8293	38964
702	8305	38953
703	8316	38937
704	8328	38923
705	8339	38908
706	8351	38899
707	8361	38879
708	8372	38864
709	8384	38850
710	8394	38831
711	8405	38815
712	8416	38800
713	8427	38783
714	8438	38767
715	8449	38752
716	8460	38740
717	8472	38729
718	8484	38718
719	8496	38705
720	8507	38692
721	8520	38683
722	8531	38668
723	8542	38655
724	8553	38640
725	8565	38629
726	8579	38625
727	8591	38615
728	8603	38603
729	8615	38592
730	8627	38580
731	8637	38563
732	8650	38556
733	8661	38542
734	8673	38528
735	8684	38515
736	8696	38501
737	8708	38491
738	8719	38478
739	8732	38468
740	8743	38455
741	8754	38441
742	8766	38429
743	8778	38419
744	8790	38408
745	8802	38396
746	8814	38383
747	8825	38371
748	8837	38359
749	8849	38348
750	8860	38333
751	8871	38318
752	8883	38308
753	8895	38294
754	8907	38282
755	8918	38269
756	8930	38256
757	8941	38244
758	8953	38233
759	8965	38220
760	8976	38205
761	8988	38194
762	9002	38193
763	9013	38178
764	9026	38169
765	9037	38157
766	9049	38143
767	9060	38130
768	9073	38123
769	9084	38108
770	9097	38099
771	9108	38086
772	9120	38074
773	9133	38066
774	9144	38054
775	9155	38036
776	9166	38022
777	9177	38009
778	9188	37991
779	9199	37979
780	9211	37965
781	9222	37950
782	9234	37939
783	9245	37926
784	9257	37913
785	9268	37898
786	9281	37890
787	9292	37876
788	9303	37863
789	9315	37850
790	9327	37841
791	9339	37829
792	9351	37817
793	9362	37805
794	9375	37796
795	9387	37786
796	9398	37772
797	9412	37767
798	9423	37754
799	9435	37742
800	9447	37729
801	9460	37722
802	9470	37706
803	9482	37692
804	9494	37683
805	9506	37670
806	9517	37659
807	9529	37645
808	9541	37635
809	9552	37620
810	9564	37610
811	9575	37593
812	9586	37578
813	9598	37566
814	9610	37555
815	9622	37546
816	9632	37528
817	9644	37515
818	9655	37503
819	9669	37498
820	9684	37499
821	9696	37487
822	9709	37479
823	9721	37470
824	9732	37454
825	9745	37446
826	9757	37435
827	9769	37425
828	9781	37413
829	9792	37401
830	9805	37392
831	9816	37378
832	9828	37368
833	9840	37357
834	9851	37341
835	9863	37329
836	9875	37318
837	9886	37306
838	9899	37295
839	9909	37276
840	9921	37267
841	9932	37253
842	9943	37239
843	9955	37228
844	9968	37220
845	9980	37207
846	9991	37195
847	10004	37185
848	10014	37169
849	10026	37157
850	10038	37146
851	10050	37133
852	10061	37121
853	10073	37110
854	10085	37099
855	10096	37084
856	10107	37068
857	10119	37059
858	10130	37044
859	10142	37031
860	10153	37016
861	10165	37006
862	10176	36992
863	10188	36980
864	10200	36968
865	10210	36952
866	10222	36940
867	10233	36925
868	10245	36913
869	10256	36900
870	10268	36889
871	10279	36873
872	10288	36852
873	10299	36838
874	10311	36825
875	10321	36809
876	10333	36796
877	10344	36783
878	10356	36771
879	10368	36760
880	10378	36741
881	10390	36730
882	10401	36716
883	10410	36695
884	10422	36685
885	10434	36675
886	10446	36663
887	10458	36652
888	10471	36643
889	10483	36632
890	10494	36618
891	10504	36601
892	10517	36592
893	10530	36585
894	10542	36573
895	10553	36561
896	10565	36549
897	10578	36543
898	10589	36527
899	10601	36515
900	10615	36510
901	10627	36499
902	10638	36487
903	10650	36475
904	10664	36469
905	10676	36460
906	10687	36445
907	10699	36434
908	10711	36424
909	10724	36416
910	10736	36404
911	10748	36395
912	10761	36386
913	10773	36373
914	10785	36364
915	10795	36347
916	10807	36334
917	10818	36321
918	10829	36307
919	10841	36296
920	10852	36282
921	10864	36271
922	10876	36257
923	10886	36242
924	10898	36229
925	10909	36214
926	10920	36200
927	10932	36189
928	10943	36175
929	10954	36161
930	10966	36150
931	10977	36137
932	10990	36128
933	11002	36118
934	11015	36108
935	11028	36101
936	11040	36090
937	11051	36077
938	11063	36065
939	11074	36051
940	11086	36038
941	11098	36027
942	11109	36014
943	11121	36004
944	11133	35992
945	11145	35979
946	11157	35970
947	11169	35959
948	11182	35949
949	11193	35937
950	11204	35923
951	11215	35909
952	11228	35901
953	11240	35890
954	11253	35881
955	11265	35870
956	11276	35856
957	11288	35846
958	11300	35835
959	11312	35823
960	11323	35809
961	11335	35796
962	11347	35785
963	11359	35775
964	11371	35762
965	11382	35750
966	11395	35742
967	11406	35727
968	11416	35711
969	11428	35698
970	11440	35687
971	11451	35675
972	11463	35662
973	11474	35649
974	11486	35639
975	11498	35625
976	11509	35613
977	11521	35601
978	11533	35589
979	11545	35578
980	11557	35566
981	11568	35554
982	11580	35542
983	11591	35529
984	11603	35517
985	11615	35507
986	11627	35495
987	11638	35481
988	11650	35469
989	11662	35458
990	11674	35446
991	11685	35433
992	11697	35421
993	11710	35413
994	11723	35405
995	11733	35388
996	11742	35368
997	11754	35357
998	11765	35344
999	11779	35337
1000	11791	35327
1001	11803	35317
1002	11815	35306
1003	11827	35292
1004	11838	35279
1005	11851	35271
1006	11863	35259
1007	11875	35249
1008	11887	35238
1009	11899	35226
1010	11910	35213
1011	11920	35196
1012	11931	35182
1013	11943	35170
1014	11955	35160
1015	11966	35146
1016	11978	35133
1017	11990	35122
1018	12001	35108
1019	12013	35097
1020	12026	35089
1021	12037	35075
1022	12050	35067
1023	12060	35050
1024	12072	35040
1025	12085	35031
1026	12097	35019
1027	12109	35008
1028	12121	34997
1029	12131	34982
1030	12142	34967
1031	12155	34958
1032	12166	34946
1033	12178	34932
1034	12190	34921
1035	12202	34911
1036	12213	34898
1037	12225	34887
1038	12238	34876
1039	12250	34867
1040	12262	34855
1041	12273	34842
1042	12285	34829
1043	12296	34816
1044	12307	34802
1045	12319	34792
1046	12328	34772
1047	12340	34761
1048	12352	34750
1049	12364	34737
1050	12375	34725
1051	12386	34711
1052	12397	34697
1053	12407	34679
1054	12419	34667
1055	12430	34653
1056	12441	34640
1057	12451	34622
1058	12462	34608
1059	12470	34589
1060	12483	34578
1061	12495	34568
1062	12506	34555
1063	12518	34544
1064	12530	34533
1065	12542	34520
1066	12555	34512
1067	12566	34499
1068	12578	34487
1069	12590	34477
1070	12604	34470
1071	12616	34459
1072	12628	34449
1073	12642	34444
1074	12655	34434
1075	12666	34421
1076	12679	34411
1077	12691	34400
1078	12703	34388
1079	12714	34375
1080	12726	34366
1081	12738	34353
1082	12750	34342
1083	12762	34332
1084	12776	34324
1085	12788	34314
1086	12800	34303
1087	12811	34290
1088	12823	34278
1089	12835	34266
1090	12846	34254
1091	12858	34242
1092	12870	34231
1093	12882	34219
1094	12893	34207
1095	12905	34195
1096	12917	34184
1097	12928	34169
1098	12939	34157
1099	12951	34143
1100	12962	34131
1101	12974	34119
1102	12985	34106
1103	12997	34094
1104	13010	34087
1105	13022	34074
1106	13033	34060
1107	13044	34046
1108	13055	34034
1109	13067	34022
1110	13077	34006
1111	13087	33990
1112	13099	33978
1113	13110	33963
1114	13120	33948
1115	13131	33935
1116	13143	33923
1117	13155	33911
1118	13167	33900
1119	13179	33889
1120	13190	33877
1121	13201	33863
1122	13213	33852
1123	13224	33836
1124	13236	33826
1125	13248	33815
1126	13260	33803
1127	13271	33789
1128	13281	33775
1129	13294	33764
1130	13305	33750
1131	13315	33736
1132	13325	33719
1133	13336	33707
1134	13350	33700
1135	13363	33690
1136	13375	33679
1137	13386	33667
1138	13398	33655
1139	13408	33638
1140	13419	33624
1141	13431	33613
1142	13443	33601
1143	13454	33590
1144	13466	33577
1145	13478	33566
1146	13490	33556
1147	13503	33546
1148	13514	33534
1149	13525	33519
1150	13537	33509
1151	13549	33498
1152	13566	33498
1153	13579	33489
1154	13591	33479
1155	13602	33465
1156	13614	33454
1157	13626	33443
1158	13637	33430
1159	13648	33415
1160	13659	33402
1161	13670	33389
1162	13682	33376
1163	13694	33364
1164	13705	33352
1165	13716	33338
1166	13727	33325
1167	13738	33311
1168	13750	33300
1169	13761	33287
1170	13774	33277
1171	13786	33266
1172	13797	33253
1173	13809	33241
1174	13821	33230
1175	13832	33217
1176	13845	33206
1177	13856	33194
1178	13869	33186
1179	13882	33175
1180	13893	33164
1181	13905	33151
1182	13916	33137
1183	13927	33124
1184	13939	33114
1185	13951	33102
1186	13963	33091
1187	13975	33080
1188	13988	33070
1189	14000	33059
1190	14011	33047
1191	14022	33033
1192	14036	33025
1193	14047	33012
1194	14059	33000
1195	14070	32988
1196	14082	32976
1197	14093	32963
1198	14105	32951
1199	14116	32939
1200	14128	32927
1201	14139	32914
1202	14150	32900
1203	14161	32886
1204	14173	32874
1205	14184	32862
1206	14196	32851
1207	14208	32840
1208	14219	32826
1209	14232	32816
1210	14243	32803
1211	14254	32790
1212	14266	32778
1213	14276	32763
1214	14287	32749
1215	14298	32735
1216	14310	32724
1217	14321	32710
1218	14333	32699
1219	14345	32688
1220	14357	32677
1221	14370	32667
1222	14381	32654
1223	14392	32642
1224	14404	32629
1225	14414	32613
1226	14426	32602
1227	14437	32590
1228	14449	32578
1229	14461	32566
1230	14471	32552
1231	14483	32540
1232	14495	32529
1233	14506	32516
1234	14518	32504
1235	14529	32492
1236	14541	32479
1237	14553	32468
1238	14565	32458
1239	14577	32447
1240	14590	32436
1241	14602	32425
1242	14614	32414
1243	14628	32409
1244	14643	32402
1245	14655	32391
1246	14666	32380
1247	14678	32368
1248	14689	32355
1249	14701	32344
1250	14713	32332
1251	14724	32318
1252	14735	32306
1253	14748	32295
1254	14759	32283
1255	14771	32270
1256	14782	32258
1257	14793	32244
1258	14805	32233
1259	14816	32219
1260	14827	32207
1261	14839	32196
1262	14852	32185
1263	14864	32175
1264	14877	32164
1265	14888	32152
1266	14901	32143
1267	14913	32131
1268	14927	32124
1269	14939	32113
1270	14950	32101
1271	14962	32089
1272	14974	32079
1273	14986	32067
1274	14999	32056
1275	15010	32044
1276	15021	32030
1277	15032	32017
1278	15044	32005
1279	15055	31992
1280	15066	31978
1281	15076	31965
1282	15086	31949
1283	15098	31937
1284	15108	31922
1285	15119	31907
1286	15130	31895
1287	15141	31881
1288	15152	31869
1289	15163	31855
1290	15174	31841
1291	15184	31827
1292	15195	31813
1293	15206	31800
1294	15217	31787
1295	15228	31772
1296	15240	31760
1297	15252	31750
1298	15263	31737
1299	15274	31724
1300	15287	31713
1301	15298	31702
1302	15310	31689
1303	15320	31675
1304	15341	31682
1305	15380	31725
1306	15418	31768
1307	15437	31771
1308	15451	31765
1309	15466	31759
1310	15483	31757
1311	15495	31746
1312	15507	31736
1313	15520	31725
1314	15531	31713
1315	15543	31702
1316	15557	31694
1317	15569	31681
1318	15579	31667
1319	15592	31657
1320	15605	31647
1321	15616	31633
1322	15627	31622
1323	15640	31612
1324	15653	31601
1325	15664	31589
1326	15676	31577
1327	15688	31565
1328	15700	31553
1329	15709	31537
1330	15721	31526
1331	15733	31515
1332	15747	31506
1333	15757	31491
1334	15768	31478
1335	15781	31469
1336	15794	31459
1337	15806	31446
1338	15818	31436
1339	15830	31424
1340	15843	31414
1341	15854	31402
1342	15867	31391
1343	15878	31378
1344	15888	31364
1345	15900	31352
1346	15912	31339
1347	15923	31326
1348	15934	31313
1349	15944	31298
1350	15956	31286
1351	15967	31273
1352	15978	31260
1353	15992	31251
1354	16003	31239
1355	16015	31226
1356	16026	31213
1357	16037	31201
1358	16048	31188
1359	16059	31174
1360	16071	31163
1361	16084	31152
1362	16096	31142
1363	16108	31130
1364	16120	31118
1365	16131	31105
1366	16143	31094
1367	16155	31083
1368	16167	31071
1369	16178	31058
1370	16190	31047
1371	16202	31034
1372	16213	31022
1373	16225	31010
1374	16236	30997
1375	16249	30987
1376	16260	30974
1377	16274	30967
1378	16288	30958
1379	16300	30946
1380	16314	30939
1381	16326	30928
1382	16339	30918
1383	16352	30908
1384	16364	30896
1385	16374	30883
1386	16388	30875
1387	16401	30865
1388	16414	30855
1389	16427	30846
1390	16439	30835
1391	16453	30826
1392	16464	30814
1393	16476	30800
1394	16488	30789
1395	16502	30782
1396	16514	30770
1397	16526	30759
1398	16537	30746
1399	16547	30731
1400	16560	30721
1401	16573	30711
1402	16586	30702
1403	16596	30686
1404	16608	30676
1405	16621	30664
1406	16632	30652
1407	16644	30640
1408	16656	30628
1409	16667	30616
1410	16680	30605
1411	16691	30593
1412	16704	30583
1413	16716	30572
1414	16727	30559
1415	16739	30546
1416	16751	30535
1417	16762	30522
1418	16774	30510
1419	16787	30500
1420	16798	30487
1421	16811	30477
1422	16823	30466
1423	16835	30455
1424	16848	30445
1425	16859	30431
1426	16871	30421
1427	16884	30410
1428	16896	30399
1429	16909	30389
1430	16923	30381
1431	16934	30368
1432	16947	30358
1433	16960	30348
1434	16980	30351
1435	16992	30339
1436	17004	30328
1437	17016	30316
1438	17028	30305
1439	17039	30292
1440	17051	30280
1441	17062	30267
1442	17073	30254
1443	17084	30241
1444	17096	30229
1445	17108	30218
1446	17120	30207
1447	17133	30196
1448	17145	30184
1449	17156	30171
1450	17167	30158
1451	17178	30145
1452	17190	30133
1453	17202	30122
1454	17214	30110
1455	17226	30099
1456	17238	30087
1457	17249	30074
1458	17261	30062
1459	17273	30050
1460	17284	30038
1461	17295	30025
1462	17306	30011
1463	17319	30000
1464	17330	29988
1465	17342	29976
1466	17355	29966
1467	17366	29953
1468	17378	29941
1469	17401	29948
1470	17417	29944
1471	17428	29931
1472	17441	29920
1473	17452	29909
1474	17465	29898
1475	17477	29887
1476	17489	29876
1477	17502	29864
1478	17514	29854
1479	17526	29842
1480	17538	29830
1481	17549	29817
1482	17561	29806
1483	17573	29793
1484	17584	29781
1485	17595	29767
1486	17606	29755
1487	17617	29741
1488	17629	29729
1489	17639	29714
1490	17651	29702
1491	17662	29690
1492	17674	29678
1493	17686	29666
1494	17697	29654
1495	17709	29642
1496	17721	29631
1497	17733	29618
1498	17744	29606
1499	17755	29592
1500	17766	29580
1501	17779	29569
1502	17791	29558
1503	17803	29546
1504	17815	29535
1505	17826	29522
1506	17838	29510
1507	17850	29498
1508	17862	29486
1509	17873	29473
1510	17885	29462
1511	17898	29451
1512	17911	29441
1513	17922	29429
1514	17934	29417
1515	17945	29404
1516	17957	29392
1517	17968	29379
1518	17980	29367
1519	17991	29354
1520	18004	29344
1521	18015	29331
1522	18028	29320
1523	18040	29309
1524	18050	29295
1525	18062	29283
1526	18075	29272
1527	18087	29261
1528	18101	29253
1529	18114	29243
1530	18127	29232
1531	18138	29221
1532	18150	29209
1533	18163	29199
1534	18176	29188
1535	18188	29178
1536	18202	29169
1537	18215	29158
1538	18227	29147
1539	18239	29136
1540	18251	29123
1541	18277	29134
1542	18304	29146
1543	18325	29149
1544	18346	29152
1545	18358	29140
1546	18371	29130
1547	18384	29121
1548	18395	29107
1549	18407	29095
1550	18419	29083
1551	18430	29071
1552	18442	29058
1553	18452	29044
1554	18464	29031
